User_id,first_seen,last_seen,total_events,is_converter,purchases,first_purchase,last_purchase,total_quantity,total_revenue,median_rate,days_active,events_per_day_active,has_purchased_ever,recency_days,frequency_purchases,events_before_first_purchase,days_to_first_purchase,events_in_7d_before_first_purchase,events_in_14d_before_first_purchase,events_in_30d_before_first_purchase,R_quartile,F_quartile,RF_segment
51585704576,2019-01-11 10:30:00,2019-03-11 19:51:00,3,1,1.0,2019-01-11 10:30:00,2019-01-11 10:30:00,2.0,2000.0,1000.0,59,0.05084745762711865,1,345.0,1.0,0,0.0,0.0,0.0,0.0,1,1,11
51589427926,2019-04-03 11:00:00,2019-10-23 20:23:00,16,1,2.0,2019-04-03 11:17:00,2019-10-23 20:23:00,7.0,1750.0,250.0,203,0.07881773399014778,1,59.0,2.0,4,0.0,4.0,4.0,4.0,3,2,32
51590616683,2019-04-11 20:53:00,2019-04-11 21:17:00,4,0,,,,,,,0,4.0,0,,0.0,4,,,,,,1,
51591878847,2019-10-10 21:11:00,2019-10-10 21:11:00,1,0,,,,,,,0,1.0,0,,0.0,1,,,,,,1,
51592642763,2019-03-11 13:42:00,2019-04-30 13:02:00,11,1,2.0,2019-03-11 13:49:00,2019-04-30 13:02:00,3.0,20000.0,7500.0,49,0.22448979591836735,1,236.0,2.0,5,0.0,5.0,5.0,5.0,1,2,12
51594471927,2019-11-10 11:18:00,2019-11-10 11:30:00,4,0,,,,,,,0,4.0,0,,0.0,4,,,,,,1,
51596197877,2019-04-11 11:07:00,2019-10-24 11:40:00,14,1,2.0,2019-04-11 13:52:00,2019-10-24 11:40:00,7.0,2000.0,350.0,196,0.07142857142857142,1,59.0,2.0,7,0.0,7.0,7.0,7.0,3,2,32
51597745082,2019-04-11 17:33:00,2019-04-11 17:48:00,3,0,,,,,,,0,3.0,0,,0.0,3,,,,,,1,
51607023962,2019-10-21 23:14:00,2019-10-21 23:17:00,2,0,,,,,,,0,2.0,0,,0.0,2,,,,,,1,
51613127728,2019-10-23 23:50:00,2019-10-23 23:59:00,3,0,,,,,,,0,3.0,0,,0.0,3,,,,,,1,
51613167885,2019-01-10 22:12:00,2019-10-31 15:28:00,16,1,1.0,2019-10-31 15:28:00,2019-10-31 15:28:00,3.0,60000.0,20000.0,293,0.05460750853242321,1,52.0,1.0,15,293.0,4.0,4.0,4.0,3,1,31
